Staircase.thisTrialN,Staircase.stepSize,Staircase.intensity,thisRow.t,notes,introduction.started,text.started,introduction.stopped,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,Staircase.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,0.09594840000499971,0.10826720000477508,1.0101455000112765,,,,,,,,,,,,,854077,001,2025-09-04_09h08.29.602,Staircase-2,,2025.1.1,69.24752180227162,2025-09-04 09h08.30.858784 +0530,
0,2,10.0,1.019847200019285,,,,,1.0102672000066377,1.019847200019285,1.5499073000100907,1.5499073000100907,1.577372200001264,1.847363700013375,2.160267700004624,right,10.0,1,1,0.5743378000042867,854077,001,2025-09-04_09h08.29.602,Staircase-2,,2025.1.1,69.24752180227162,2025-09-04 09h08.30.858784 +0530,
1,2,8.0,2.1905266999965534,,,,,2.1604099000105634,2.1905266999965534,2.659864800021751,2.659864800021751,2.6893533999973442,2.961631000012858,3.315172700007679,right,8.0,1,1,0.6510027999756858,854077,001,2025-09-04_09h08.29.602,Staircase-2,,2025.1.1,69.24752180227162,2025-09-04 09h08.30.858784 +0530,
2,2,6.0,3.3289608000195585,,,,,3.3152665000234265,3.3289608000195585,3.8138464000076056,3.8138464000076056,3.8292858000204433,4.1131790000072215,4.494489900011104,right,6.0,1,1,0.6771757999958936,854077,001,2025-09-04_09h08.29.602,Staircase-2,,2025.1.1,69.24752180227162,2025-09-04 09h08.30.858784 +0530,
3,2,4.0,4.523018000007141,,,,,4.494579599995632,4.523018000007141,4.994415000022855,4.994415000022855,5.021580500004347,5.292020000022603,6.476532700005919,right,4.0,1,1,1.4695836000028066,854077,001,2025-09-04_09h08.29.602,Staircase-2,,2025.1.1,69.24752180227162,2025-09-04 09h08.30.858784 +0530,
,,,6.486697600019397,,,,,6.47667299999739,6.486697600019397,6.974516600021161,6.974516600021161,6.9860901000211015,7.2731055000040215,,,,,,,,,,,,,,,
