delay,condition,textbox.text,,,,,,,
0.4,exp,190,,,,,,,
0.4,exp,500,,,,,,,
0.4,exp,1000,,,,,,,
0.4,exp,200,,,,,,,
0.4,exp,700,,,,,,,
0.4,exp,600,,,,,,,
0.4,exp,500,,,,,,,
0.4,exp,700,,,,,,,
0.4,exp,200,,,,,,,
0.4,exp,1000,,,,,,,
0.4,exp,400,,,,,,,
0.4,exp,300,,,,,,,
0.4,exp,600,,,,,,,
0.7,exp,200,,,,,,,
0.7,exp,500,,,,,,,
0.7,exp,100,,,,,,,
0.7,exp,700,,,,,,,
0.7,exp,"200
",,,,,,,
0.7,exp,100,,,,,,,
0.7,exp,100,,,,,,,
0.7,exp,200,,,,,,,
0.7,exp,1000,,,,,,,
0.7,exp,670,,,,,,,
0.7,exp,1000,,,,,,,
0.7,exp,100,,,,,,,
0.7,exp,500,,,,,,,
0.7,exp,70,,,,,,,
0.7,exp,100,,,,,,,
0.7,exp,500,,,,,,,
0.7,exp,1000,,,,,,,
0.7,exp,700,,,,,,,
0.7,exp,1000,,,,,,,
0.7,exp,100,,,,,,,
0.7,exp,200,,,,,,,
0.7,exp,1000,,,,,,,
0.7,exp,100,,,,,,,
0.7,exp,700,,,,,,,
0.7,exp,100,,,,,,,
0.7,exp,1000,,,,,,,
0.7,exp,700,,,,,,,
0.7,exp,600,,,,,,,
0.7,exp,1000,,,,,,,
0.7,exp,100,,,,,,,
0.7,exp,100,,,,,,,
0.7,exp,290,,,,,,,
0.7,exp,100,,,,,,,
0.7,exp,100,,,,,,,
0.7,exp,"100
",,,,,,,
0.7,exp,700,,,,,,,
0.7,exp,200,,,,,,,
0.7,exp,500,,,,,,,
0.7,exp,1000,,,,,,,
0.7,exp,1000,,,,,,,
0.7,exp,100,,,,,,,
0.7,exp,600,,,,,,,
0.7,exp,700,,,,,,,
0.7,exp,390,,,,,,,
0.7,exp,700,,,,,,,
0.7,exp,"1000
",,,,,,,
0.7,exp,100,,,,,,,
0.7,exp,200,,,,,,,
0.7,exp,1000,,,,,,,
0.7,exp,700,,,,,,,
0.7,exp,300,,,,,,,
0.7,exp,100,,,,,,,
0.7,exp,"700
",,,,,,,
0.7,exp,1000,,,,,,,
0.7,exp,700,,,,,,,
0.7,exp,300,,,,,,,
0.7,exp,100,,,,,,,
0.7,exp,400,,,,,,,
0.7,exp,700,,,,,,,
0.7,exp,700,,,,,,,
0.7,exp,500,,,,,,,
0.7,exp,100,,,,,,,
0.7,exp,700,,,,,,,
0.7,exp,500,,,,,,,
0.7,exp,1000,,,,,,,
0.7,exp,200,,,,,,,
0.7,exp,1000,,,,,,,
0.7,exp,490,,,,,,,
0.7,exp,200,,,,,,,
0.7,exp,"800
",,,,,,,
0.7,exp,500,,,,,,,
0.7,exp,100,,,,,,,
0.7,exp,400,,,,,,,
0.7,exp,400,,,,,,,
0.7,exp,300,,,,,,,
0.7,exp,500,,,,,,,
0.7,exp,500,,,,,,,
0.7,exp,500,,,,,,,
0.7,exp,1000,,,,,,,
0.7,exp,1000,,,,,,,
0.7,exp,300,,,,,,,
