condition,key_resp.corr,key_resp.rt,,Cong,Corr,RT,,Incong,Corr,RT,,,,,
incongruent,1,0.4543626,,,,,,,,,,,,,
incongruent,1,0.6104278,,,,,,,,,,,,,
incongruent,1,0.4785115,,,,,,,,,,,,,
incongruent,1,0.4786535,,,,,,,,,,,,,
incongruent,1,0.4769197,,,,,,,,,,,,,
incongruent,1,0.6475079,,,,,,,,,,,,,
incongruent,1,0.3189604,,,,,,,,,,,,,
incongruent,1,0.4876208,,,,,,,,,,,,,
incongruent,1,0.4792866,,,,,,,,,,,,,
incongruent,1,0.6306412,,,,,,,,,,,,,
incongruent,1,0.7400446,,,,,,,,,,,,,
incongruent,1,0.4952979,,,,,,,,,,,,,
congruent,0,0.5089549,,,,,,,,,,,,,
incongruent,0,0.4367469,,,,,,,,,,,,,
incongruent,0,0.4052612,,,,,,,,,,,,,
