thisN,thisTrialN,thisRepN,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.tilt,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
77,0,77,0,up,1,0.464406200000667,None,77,0,77,0,120.41469970000617,,120.41080749999674,120.41469970000617,121.40274649999628,121.40932999999495,121.86977350000234,0,up,1,0.464406200000667,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
78,0,78,0,up,1,0.4313306000112789,None,78,0,78,0,121.87615710000682,,121.86988910000946,121.87615710000682,122.86468840000452,122.86902130000817,123.29954279999947,0,up,1,0.4313306000112789,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
79,0,79,0,up,1,0.5070048999914434,None,79,0,79,0,123.30655589999515,,123.2997469999973,123.30655589999515,124.29485780000687,124.30030460000853,124.80350180000823,0,up,1,0.5070048999914434,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
80,0,80,3,down,0,0.5390655000082916,None,80,0,80,0,124.80934350000462,,124.80363550000766,124.80934350000462,125.79052429999865,125.80283270000655,126.33716599999752,3,down,0,0.5390655000082916,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
81,0,81,-2,down,0,0.6002147999970475,None,81,0,81,0,126.34293650000473,,126.33734579999873,126.34293650000473,127.33014910000202,127.33698100000038,127.9370598999958,-2,down,0,0.6002147999970475,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
82,0,82,0,up,1,0.34733620000770316,None,82,0,82,0,127.94274410000071,,127.93723890000547,127.94274410000071,128.92986269999528,128.93658470000082,129.28249840000353,0,up,1,0.34733620000770316,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
83,0,83,0,down,0,0.39926500000001397,None,83,0,83,0,129.28827000000456,,129.28265219999594,129.28827000000456,130.27636060000805,130.2812253000011,130.67624380000052,0,down,0,0.39926500000001397,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
84,0,84,0,down,0,0.4967994000035105,None,84,0,84,0,130.6811943000066,,130.67640599999868,130.6811943000066,131.66990039999655,131.6762402000022,132.17207939999935,0,down,0,0.4967994000035105,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
85,0,85,0,up,1,0.26421510000363924,None,85,0,85,0,132.17804569999862,,132.17220559999987,132.17804569999862,133.16622539999662,133.16622539999662,133.43410280000535,0,up,1,0.26421510000363924,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
86,0,86,0,up,1,0.4757530000060797,None,86,0,86,0,133.43955090000236,,133.4342156000057,133.43955090000236,134.42642089999572,134.43377390000387,134.9055756000016,0,up,1,0.4757530000060797,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
87,0,87,0,down,0,0.7256306999915978,None,87,0,87,0,134.91249020000396,,134.90569149999646,134.91249020000396,135.89994060000754,135.90482229999907,136.6277032000071,0,down,0,0.7256306999915978,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
88,0,88,0,up,1,0.44596399999863934,None,88,0,88,0,136.63347129999602,,136.62785849999636,136.63347129999602,137.62175410000782,137.62803049999638,138.06880819999787,0,up,1,0.44596399999863934,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
89,0,89,0,up,1,0.6130403999995906,None,89,0,89,0,138.07583040000463,,138.06892590000643,138.07583040000463,139.05764369999815,139.06987380000646,139.67616020000423,0,up,1,0.6130403999995906,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
90,0,90,0,up,1,0.335924500002875,None,90,0,90,0,139.68118510000932,,139.6762732000061,139.68118510000932,140.6701011999976,140.67576929999632,141.00821220000216,0,up,1,0.335924500002875,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
91,0,91,0,down,0,0.7424310000060359,None,91,0,91,0,141.01544850000937,,141.00836130000243,141.01544850000937,142.00313340000866,142.0077300999983,142.74724520000746,0,down,0,0.7424310000060359,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
92,0,92,0,down,0,0.6796197999938158,None,92,0,92,0,142.7545756000036,,142.74735430000874,142.7545756000036,143.73638149999897,143.7487608000083,144.42034409999906,0,down,0,0.6796197999938158,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
93,0,93,3,down,0,0.6445824999973411,None,93,0,93,0,144.4274415999971,,144.42075530000147,144.4274415999971,145.41411870000593,145.41998859999876,146.0627250999969,3,down,0,0.6445824999973411,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
94,0,94,0,up,1,0.5312230999988969,None,94,0,94,0,146.06845790000807,,146.06290060000902,146.06845790000807,147.05033189999813,147.06374969999888,147.58574819999922,0,up,1,0.5312230999988969,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
95,0,95,0,down,0,0.7107224000064889,None,95,0,95,0,147.5894219000038,,147.58590810000896,147.5894219000038,148.5790846000018,148.5836566000071,149.29289169999538,0,down,0,0.7107224000064889,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
96,0,96,0,up,1,0.7179184000124224,None,96,0,96,0,149.29991390000214,,149.2930248000048,149.29991390000214,150.28665300000284,150.29312329999811,151.00791699999536,0,up,1,0.7179184000124224,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
97,0,97,0,up,1,0.37120629999844823,None,97,0,97,0,151.01425819999713,,151.00812280000537,151.01425819999713,151.99675269999716,152.0031805000035,152.37262760000885,0,up,1,0.37120629999844823,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
98,0,98,0,down,0,0.41797480000241194,None,98,0,98,0,152.37910530000227,,152.3727637999982,152.37910530000227,153.36551119999785,153.37272959999973,153.78496240000823,0,down,0,0.41797480000241194,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
99,0,99,0,up,1,0.4384910999942804,None,99,0,99,0,153.79070880000654,,153.78509780000604,153.79070880000654,154.77887209999608,154.78325570000743,155.21974670000782,0,up,1,0.4384910999942804,None,1,001,2025-09-11_17h17.41.337,SIgnalDetection_AU202320248_ishikakori,,2025.1.1,171.99507405260374,2025-09-11 17h17.46.812454 +0530,
